;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
189;all.func.brepl;-1.626248;NA;NA;NA;NA;3;24.78921;-42.16666;10.587076;0.0029681233
190;all.func.brepl;-1.394241;NA;NA;-0.4158134;NA;4;26.05738;-41.61476;11.138974;0.0022523647
191;all.func.brepl;-1.525986;NA;-0.1685828;NA;NA;4;24.97332;-39.44664;13.307092;0.0007617945
192;all.func.brepl;-1.433473;NA;0.1096364;-0.4706194;NA;5;26.11565;-38.2313;14.522435;0.0004148867
193;nat.func.btotal;-0.7554771;NA;NA;NA;-1.145464;4;20.22098;-29.94195;0;0.479325737
194;nat.func.btotal;-1.0995892;NA;0.94758735;NA;-1.523456;5;21.64889;-29.29778;0.6441683;0.347337256
195;nat.func.btotal;-0.7907167;NA;NA;0.13225262;-1.167964;5;20.24814;-26.49629;3.445666;0.085588198
196;nat.func.btotal;-1.1050205;NA;0.93429656;0.03669517;-1.52641;6;5,394444444;-25.3016;4.6403512;0.047096787
197;nat.func.btotal;-0.9077798;NA;NA;NA;NA;3;15.31325;-23.21473;6.7272216;0.016589494
198;nat.func.btotal;-0.6048686;NA;NA;-0.51139436;NA;4;6,615277778;-23.2132;6.7287534;0.016576793
199;nat.func.btotal;-0.7744569;NA;-0.21888844;NA;NA;4;15.55412;-20.60824;9.3337149;0.00450651
200;nat.func.btotal;-0.639206;NA;0.09242848;-0.55412676;NA;5;16.89026;-19.78052;10.1614345;0.002979225
201;nat.func.brich;-1.515633;NA;NA;NA;-0.5725477;4;32.30631;-54.11263;0;0.40606996
202;nat.func.brich;-1.786842;NA;0.549681;NA;-0.8649984;5;33.55597;-53.11194;1.000689;0.24620906
203;nat.func.brich;-1.706407;NA;NA;NA;NA;3;29.47846;-51.54516;2.567465;0.11248198
204;nat.func.brich;-1.462922;NA;NA;-0.44416763;NA;4;30.75224;-51.00448;3.108149;0.08583707
205;nat.func.brich;-1.546379;NA;NA;0.08477176;-0.6141797;5;32.32505;-50.65009;3.462532;0.07189878
206;nat.func.brich;-1.828115;NA;0.5551593;0.10334584;-0.9155656;6;33.58278;-49.16557;4.947059;0.03422635
207;nat.func.brich;-1.63413;NA;-0.1207673;NA;NA;4;29.57068;-48.64135;5.471277;0.02633469
208;nat.func.brich;-1.521811;NA;0.1613142;-0.5240873;NA;5;30.87959;-47.75918;6.353447;0.01694211
209;nat.func.brepl;-1.598554;NA;NA;NA;-1.307506;4;30.43283;-50.36565;0;0.6673480394
210;nat.func.brepl;-1.742399;NA;0.5095121;NA;-1.410955;5;30.79812;-47.59624;2.769406;0.1671027397
211;nat.func.brepl;-1.665616;NA;NA;0.2092315;-1.362678;5;30.54879;-47.09759;3.268065;0.1302270233
212;nat.func.brepl;-1.801627;NA;0.4977047;0.203773;-1.475688;6;30.90486;-43.80971;6.555939;0.0251621822
213;nat.func.brepl;-1.505366;NA;NA;NA;NA;3;24.00093;-40.5901;9.775546;0.0050305978
214;nat.func.brepl;-1.283335;NA;NA;-0.3914916;NA;4;25.09341;-39.68683;10.678823;0.0032023989
215;nat.func.brepl;-1.38726;NA;-0.1983699;NA;NA;4;24.24148;-37.98296;12.38269;0.0013661093
216;nat.func.brepl;-1.298116;NA;0.0414387;-0.4112955;NA;5;25.10132;-36.20264;14.163015;0.0005609095
217;nind.func.btotal;-0.224377632;NA;1.1156518;NA;-1.0829244;5;73.18735;-132.3747;0;0.46179047
218;nind.func.btotal;0.071841303;NA;NA;NA;NA;3;68.81118;-130.2106;2.164103;0.15650061
219;nind.func.btotal;0.310585646;NA;NA;NA;-0.5318582;4;70.1499;-129.7998;2.574909;0.12744142
220;nind.func.btotal;-0.365221975;NA;1.1389587;0.3851304;-1.3520324;6;73.41735;-128.8347;3.539996;0.07865832
221;nind.func.btotal;-0.200740716;NA;0.4577114;NA;NA;4;69.40579;-128.3116;4.063132;0.06055459
222;nind.func.btotal;0.285960079;NA;NA;-0.3482923;NA;4;69.26534;-128.0307;4.344015;0.05262041
223;nind.func.btotal;-0.007551272;NA;0.7583052;-0.6790021;NA;5;70.66751;-127.335;5.03969;0.03716123
224;nind.func.btotal;0.218416426;NA;NA;0.2931207;-0.7284508;5;70.28197;-126.5639;5.810754;0.02527294
225;nind.func.brich;-0.32881767;NA;1.2140736;NA;-1.1192934;5;71.63662;-129.2732;0;0.53736466
226;nind.func.brich;0.03226711;NA;NA;NA;NA;3;66.87168;-126.3316;2.941654;0.12345168
227;nind.func.brich;0.24807257;NA;NA;NA;-0.5276079;4;68.14984;-125.7997;3.473571;0.09462211
228;nind.func.brich;-0.46116538;NA;1.2367595;0.3535886;-1.366895;6;71.827;-125.654;3.619239;0.08797543
229;nind.func.brich;-0.27566825;NA;0.5181004;NA;NA;4;67.62114;-124.7423;4.530963;0.05576774
230;nind.func.brich;0.24785752;NA;NA;-0.3510978;NA;4;67.33647;-124.1729;5.100298;0.04195208
231;nind.func.brich;-0.07903;NA;0.8490001;-0.7251024;NA;5;69.05303;-124.1061;5.167183;0.0405723
232;nind.func.brich;0.15991075;NA;NA;0.2685153;-0.7070528;5;68.25652;-122.513;6.760208;0.018294
233;nind.func.brepl;-2.999534;NA;NA;NA;NA;3;89.34124;-171.2707;0;0.449070612
234;nind.func.brepl;-2.79562;NA;-0.3790696;NA;NA;4;90.18179;-169.8636;1.407134;0.222207883
235;nind.func.brepl;-2.952791;NA;NA;NA;-0.16965247;4;89.54795;-168.5959;2.674811;0.117892685
236;nind.func.brepl;-2.921003;NA;NA;-0.19280269;NA;4;89.45339;-168.4068;2.863932;0.107255509
237;nind.func.brepl;-2.808076;NA;-0.3912356;0.03374699;NA;5;90.18708;-166.3742;4.896568;0.038818465
238;nind.func.brepl;-2.794329;NA;-0.3688116;NA;-0.02072962;5;90.18441;-166.3688;4.901895;0.038715204
239;nind.func.brepl;-2.979353;NA;NA;0.09367961;-0.21334671;5;89.55698;-165.114;6.156758;0.020672435
240;nind.func.brepl;-2.829586;NA;-0.3728311;0.10321405;-0.08367115;6;90.20849;-162.417;8.853745;0.005367208
