;Sampl;Ind;Obs;S1;S2;Q1;Q2;Jack1ab;Jack1abP;Jack1in;Jack1inP;Jack2ab;Jack2abP;Jack2in;Jack2inP;Chao1;Chao1P;Chao2;Chao2P
MistNeg;1;0,348611111;3,19,00;1,38,00;0,05;3,19,00;0;4,57,00;6,05491875;3,19,00;6,38,00;5,23,00;7,21271875;9,57,00;19,14,00;0,600694444;4,845166667;8,51,00;17,02,00
MistNeg;2;16,48,00;0,272916667;2,35,00;1,02,00;5,01,00;0,057638889;8,28,00;10,09633511;8,48,00;15,09262163;0,417361111;11,90368325;8,48,00;15,09262163;7,42,00;9,114720643;15,23533333;28,29541259
MistNeg;3;01/01/1900  1,59,00;0,359722222;0,133333333;1,49,00;0,263194444;0,102777778;10,07,00;12,50697381;0,516666667;18,83636809;0,522916667;14,14015394;13,45666667;21,57081196;5,815972222;11,52004494;0,963888889;29,39738189
MistNeg;4;01/01/1900  9,02,00;9,38,00;0,147916667;1,07,00;6,07,00;2,46,00;12,31,00;14,01146873;7,017361111;20,48265183;13,54,00;15,61189993;1,690972222;23,96925214;11,43966667;13,17197293;17,57889286;27,21316511
MistNeg;5;01/01/1900  17,06,00;10,05,00;3,01,00;0,098611111;0,277083333;0,147916667;13,06,00;15,12080091;0,827777778;20,91752118;0,644444444;16,67665849;4,649305556;24,27504481;12,46516667;13,94449589;16,8397619;23,97795538
MistNeg;6;02/01/1900  3,53,00;11,43,00;3,03,00;0,102777778;0,251388889;3,24,00;14,46,00;15,78469187;16,11333333;20,63866375;0,667361111;17,16459329;0,841666667;23,46363378;13,33066667;14,62767241;16,23403968;21,23298716
MistNeg;7;60,66;12,25,00;0,15;2,03,00;5,53,00;3,02,00;15,21,00;16,32561025;0,735416667;21,0157833;16,14,00;17,40986756;19,0352381;23,74854654;13,78516667;14,83032844;16,86929762;21,16142611
MistNeg;8;02/01/1900  21,42,00;0,560416667;0,136111111;2,03,00;5,07,00;0,170138889;0,66875;16,53653635;17,30625;20,49728797;16,09,00;17,0954644;18,76232143;22,43018485;14,16311905;14,99834607;16,84478571;20,30208134
MistNeg;9;03/01/1900  5,27,00;13,03,00;0,132638889;2,32,00;0,220138889;3,51,00;16,01,00;16,85333493;17,54,00;20,22100813;16,04,00;17,3265648;18,86125;21,90930758;14,53533333;15,31956417;16,67270238;19,47563725
MistNeg;10;03/01/1900  13,42,00;0,59375;0,134722222;2,04,00;4,58,00;3,44,00;16,49,00;17,32166331;1,313888889;20,16919896;0,724305556;17,74475039;19,08977778;21,67108854;15,00316667;15,77435514;16,99299242;19,38707738
MistNeg;11;03/01/1900  21,14,00;14,07,00;0,130555556;2,45,00;4,37,00;3,27,00;0,71875;17,51282378;18,04272727;20,01784396;0,734722222;17,80769491;19,21027273;21,39534074;15,19816667;15,89435794;16,5637381;18,42353042
MistNeg;12;04/01/1900  5,24,00;14,36,00;2,51,00;2,53,00;4,09,00;3,32,00;0,727083333;17,52675674;18,10916667;19,80803939;0,725694444;17,55029575;19,00234848;20,86440471;15,28733333;15,88108433;16,64140476;18,23549014
MistNeg;13;04/01/1900  13,35,00;0,63125;2,04,00;0,134027778;0,190277778;3,28,00;17,09,00;17,66576326;18,32692308;19,83701446;0,719444444;17,36444854;19,11666667;20,75774616;15,49209524;16,0139804;16,79665476;18,21465697
MistNeg;14;04/01/1900  21,24,00;15,03,00;2,34,00;0,138194444;0,185416667;3,11,00;17,37,00;17,8816577;18,62357143;19,98765786;0,730555556;17,45001735;19,48005495;20,95103063;15,73145238;16,19472429;17,05821429;18,33393395
MistNeg;15;05/01/1900  4,58,00;15,41,00;2,39,00;0,139583333;0,19375;0,140277778;17,08,00;18,31753864;0,884722222;20,56884155;17,38,00;17,91640614;20,32257143;21,90188001;16,15066667;16,62375775;17,81380952;19,18911938
MistNeg;16;05/01/1900  14,44,00;0,670833333;2,31,00;0,14375;0,192361111;2,52,00;0,775694444;18,45875954;19,381875;20,77060326;17,41,00;17,91691871;20,797625;22,34053699;16,3542619;16,80052412;18,17083333;19,51737698
MistNeg;17;05/01/1900  23,12,00;0,688194444;2,26,00;0,144444444;0,190277778;2,27,00;18,17,00;18,61845021;19,61823529;20,92952288;17,55,00;18,00774246;21,21694853;22,67231786;16,49942857;16,90295884;18,33483333;19,58564169
MistNeg;18;06/01/1900  7,04,00;16,12,00;2,15,00;0,150694444;0,184722222;2,18,00;18,27,00;18,6653435;19,76555556;20,98898691;17,45,00;17,84902161;21,37287582;22,72701035;16,6407619;16,99739228;18,49466667;19,67146423
MistNeg;19;06/01/1900  16,02,00;16,31,00;2,06,00;3;0,182638889;2;18,37,00;18,71649127;19,93842105;21,09765346;17,43,00;17,77539466;21,67520468;22,95733782;1,182638889;17,05548953;18,69216667;19,80014993
MistNeg;20;07/01/1900  0,33,00;16,47,00;2,06,00;0,14375;3,08,00;0,094444444;18,53,00;18,85537526;20,08,00;21,19068301;0,758333333;18,04269186;21,99936842;23,23115039;1,274305556;17,16954145;18,94433333;20,01149794
MistNeg;21;07/01/1900  7,56,00;0,709722222;2,03,00;0,146527778;0,18125;1,53,00;0,795138889;18,95230605;20,24857143;21,3461281;0,761805556;18,0657921;22,38064286;23,60604608;16,96383333;17,23754674;19,25833333;20,32311957
MistNeg;22;07/01/1900  15,47,00;0,725;2,05,00;0,148611111;0,188194444;1,33,00;0,811805556;19,17679309;20,57227273;21,6976965;18;18,27556418;22,97530303;24,23842264;17,13566667;17,39540881;1,21875;20,69946793
MistNeg;23;192;17;2;3;4;1;19;19,26297578;20,82608696;21,97908831;18;18,24913495;23,60671937;24,91366577;17,25,00;17,48875433;20;21,10726644
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
StaBarbara;1;11,45,00;0,170833333;0,09375;0,054861111;0,170833333;0;5,41,00;7,195470181;0,170833333;7,32,00;6,37,00;8,757438265;0,484722222;0,941666667;3,621527778;6,068744714;0,44375;0,859722222
StaBarbara;2;23,12,00;6,07,00;2,55,00;1,27,00;0,222916667;1,26,00;0,376388889;10,54154838;0,663194444;14,10369614;9,09,00;12,29841777;0,663194444;14,10369614;7,566666667;9,325455879;1,204166667;24,69664347
StaBarbara;3;34,67;0,339583333;2,09,00;1,54,00;5,14,00;0,101388889;10,59,00;12,48486863;11,11666667;16,53535829;0,524305556;14,27673245;12,52,00;18,71529524;9,608666667;11,4340137;13,81357143;21,27316098
StaBarbara;4;48,87;9,41,00;3,26,00;0,1;0,261111111;2,22,00;0,546527778;14,48415024;0,592361111;19,24554189;14,09,00;16,24583597;0,685416667;22,36493997;11,43466667;13,15466206;15,85542857;22,85728777
StaBarbara;5;59,99;10,53,00;3,37,00;2,03,00;0,267361111;2,57,00;13,09,00;15,54888626;15,21,00;20,2435681;15,24,00;17,16519094;4,621527778;23,50091105;12,8142619;14,4127193;16,19675;22,04632271
StaBarbara;6;02/01/1900  22,28,00;11,43,00;3,51,00;2,06,00;0,273611111;0,132638889;0,648611111;16,56017528;16,38,00;21,15726474;16,39,00;18,2733892;18,89466667;24,54862855;6,197916667;15,38746118;16,9927381;22,27886951
StaBarbara;7;03/01/1900  10,46,00;12,35,00;0,170833333;2,21,00;6,11,00;0,142361111;16,01,00;17,59746111;17,58714286;22,28468904;17,46,00;19,28408544;1,010416667;25,84489055;1,049305556;16,1763573;18,57394444;23,91158529
StaBarbara;8;93,73;13,19,00;0,172916667;2,34,00;6,06,00;3,02,00;0,727777778;18,36357417;4,170138889;22,79116107;18,23,00;19,9128126;20,98035714;26,05047231;15,34028571;16,7262391;19,01989286;23,85976065
